Calling LoadDataSet
LoadDataSet function took 37499.512 ms
10
MRMR
MLP logistic sgd
Selecting features with genetic algorithm.
gen	nevals	avg                      	std                      	min                      	max                      
25 	34    	[ 0.82491667  4.74      ]	[ 0.0429222   0.84403791]	[ 0.73611111  3.        ]	[ 0.89444444  6.        ]  
26 	31    	[ 0.82961111  4.92      ]	[ 0.03476935  0.8908423 ]	[ 0.74861111  4.        ]	[ 0.88472222  6.        ]  
27 	30    	[ 0.83963889  4.98      ]	[ 0.03693004  0.8829496 ]	[ 0.70416667  3.        ]	[ 0.88472222  6.        ]  
28 	31    	[ 0.83294444  5.26      ]	[ 0.03564663  0.71582121]	[ 0.75  4.  ]            	[ 0.88472222  6.        ]  
29 	35    	[ 0.82616667  5.28      ]	[ 0.03299289  0.80099938]	[ 0.73472222  4.        ]	[ 0.88472222  6.        ]  
30 	25    	[ 0.83075  5.36   ]      	[ 0.04156377  0.9329523 ]	[ 0.72638889  4.        ]	[ 0.88472222  7.        ]  
31 	31    	[ 0.83272222  5.46      ]	[ 0.03839986  0.78      ]	[ 0.72361111  4.        ]	[ 0.88472222  7.        ]  
32 	29    	[ 0.83527778  5.3       ]	[ 0.04079552  0.67082039]	[ 0.75  4.  ]            	[ 0.89583333  6.        ]  
33 	30    	[ 0.843  5.52 ]          	[ 0.03525367  0.574108  ]	[ 0.76111111  4.        ]	[ 0.89583333  7.        ]  
34 	25    	[ 0.84775  5.42   ]      	[ 0.0407765   0.53254108]	[ 0.74722222  5.        ]	[ 0.89583333  7.        ]  
35 	23    	[ 0.84555556  5.44      ]	[ 0.03838362  0.49638695]	[ 0.7375  5.    ]        	[ 0.89583333  6.        ]  
36 	21    	[ 0.84963889  5.62      ]	[ 0.05234531  0.52497619]	[ 0.65972222  5.        ]	[ 0.89722222  7.        ]  
37 	28    	[ 0.8365  5.62  ]        	[ 0.05385812  0.56178288]	[ 0.65694444  4.        ]	[ 0.89722222  7.        ]  
38 	30    	[ 0.83794444  5.66      ]	[ 0.04345553  0.51419841]	[ 0.76111111  4.        ]	[ 0.89722222  6.        ]  
39 	35    	[ 0.83016667  5.5       ]	[ 0.04514726  0.60827625]	[ 0.68194444  4.        ]	[ 0.89583333  6.        ]  
40 	39    	[ 0.82513889  5.58      ]	[ 0.03605043  0.56885851]	[ 0.75  4.  ]            	[ 0.89583333  7.        ]  
Number of features selected:  5
Selected features indexes are: [ True False False  True  True  True  True False False False]
Decision Tree classifier
Selecting features with genetic algorithm.
gen	nevals	avg                      	std                      	min                      	max                        
0  	50    	[ 0.75483333  4.82      ]	[ 0.04685827  1.46546921]	[ 0.64722222  2.        ]	[  0.83888889  10.        ]
1  	42    	[ 0.77627778  4.8       ]	[ 0.04204811  1.53622915]	[ 0.62638889  2.        ]	[ 0.85  9.  ]              
2  	32    	[ 0.79258333  4.52      ]	[ 0.02687363  1.36      ]	[ 0.72638889  2.        ]	[ 0.85  7.  ]              
3  	38    	[ 0.79630556  4.58      ]	[ 0.04482787  1.73308973]	[ 0.60416667  2.        ]	[ 0.87222222  8.        ]  
4  	33    	[ 0.81808333  4.38      ]	[ 0.02424554  1.58606431]	[ 0.76666667  2.        ]	[ 0.87222222  9.        ]  
5  	23    	[ 0.83005556  3.78      ]	[ 0.0281431   1.25363472]	[ 0.76111111  2.        ]	[ 0.87222222  6.        ]  
6  	36    	[ 0.83819444  3.54      ]	[ 0.02462097  1.35955875]	[ 0.77777778  2.        ]	[ 0.87222222  6.        ]  
7  	27    	[ 0.84627778  3.18      ]	[ 0.02476968  1.29135588]	[ 0.77777778  2.        ]	[ 0.88472222  6.        ]  
8  	21    	[ 0.85561111  2.9       ]	[ 0.01988578  1.02469508]	[ 0.79166667  2.        ]	[ 0.88472222  6.        ]  
9  	36    	[ 0.84955556  2.68      ]	[ 0.02684322  0.67646138]	[ 0.725  2.   ]          	[ 0.88472222  4.        ]  
10 	34    	[ 0.85933333  2.62      ]	[ 0.02172009  0.62896741]	[ 0.76805556  2.        ]	[ 0.88472222  4.        ]  
11 	23    	[ 0.85558333  2.6       ]	[ 0.03681105  0.63245553]	[ 0.67916667  1.        ]	[ 0.88472222  4.        ]  
12 	28    	[ 0.85805556  2.76      ]	[ 0.0290487   0.58514955]	[ 0.77083333  2.        ]	[ 0.88472222  5.        ]  
13 	22    	[ 0.86747222  2.7       ]	[ 0.01676151  0.5       ]	[ 0.825  2.   ]          	[ 0.88472222  4.        ]  
14 	36    	[ 0.85216667  2.94      ]	[ 0.0256898  0.5444263]  	[ 0.7375  2.    ]        	[ 0.88472222  5.        ]  
15 	28    	[ 0.84944444  3.02      ]	[ 0.03648207  0.61611687]	[ 0.65972222  2.        ]	[ 0.88472222  5.        ]  
16 	36    	[ 0.85358333  2.9       ]	[ 0.02578863  0.60827625]	[ 0.76111111  2.        ]	[ 0.88472222  5.        ]  
17 	31    	[-199.16566667    2.74      ]	[  1.40011919e+03   7.95235814e-01]	[-10000.      0.]        	[ 0.88472222  5.        ]  
18 	39    	[ 0.8475  2.72  ]            	[ 0.02636695  0.53065997]          	[ 0.7375  2.    ]        	[ 0.88472222  4.        ]  
19 	24    	[ 0.85980556  2.74      ]    	[ 0.02379732  0.55892754]          	[ 0.78333333  2.        ]	[ 0.88472222  4.        ]  
20 	30    	[ 0.85575  2.9    ]          	[ 0.02309069  0.67082039]          	[ 0.79166667  2.        ]	[ 0.88472222  5.        ]  
21 	31    	[ 0.85630556  2.7       ]    	[ 0.02316442  0.57445626]          	[ 0.75972222  2.        ]	[ 0.88472222  4.        ]  
22 	28    	[ 0.85863889  2.54      ]    	[ 0.01832552  0.53702886]          	[ 0.81666667  2.        ]	[ 0.88472222  4.        ]  
23 	25    	[ 0.86288889  2.5       ]    	[ 0.0180364   0.57445626]          	[ 0.79166667  2.        ]	[ 0.88472222  4.        ]  
24 	34    	[ 0.84988889  2.58      ]    	[ 0.03468758  0.69541355]          	[ 0.73472222  2.        ]	[ 0.88472222  5.        ]  
25 	26    	[ 0.85113889  2.54      ]    	[ 0.0312073   0.60695964]          	[ 0.74583333  1.        ]	[ 0.88472222  4.        ]  
26 	25    	[ 0.85688889  2.64      ]    	[ 0.02533869  0.65604878]          	[ 0.80138889  2.        ]	[ 0.88472222  5.        ]  
27 	33    	[ 0.85955556  2.86      ]    	[ 0.0180996   0.74859869]          	[ 0.8125  2.    ]        	[ 0.88472222  5.        ]  
28 	26    	[ 0.85941667  3.02      ]    	[ 0.02380361  0.76131465]          	[ 0.80138889  2.        ]	[ 0.88472222  6.        ]  
29 	38    	[ 0.8475  2.92  ]            	[ 0.03934357  0.74404301]          	[ 0.67916667  1.        ]	[ 0.88472222  5.        ]  
30 	31    	[ 0.85086111  3.        ]    	[ 0.02724756  0.6       ]          	[ 0.74861111  2.        ]	[ 0.88472222  5.        ]  
31 	30    	[ 0.85091667  2.94      ]    	[ 0.02339049  0.58      ]          	[ 0.79166667  2.        ]	[ 0.88472222  4.        ]  
32 	30    	[ 0.85302778  2.92      ]    	[ 0.02528646  0.68818602]          	[ 0.76111111  2.        ]	[ 0.88472222  5.        ]  
33 	26    	[ 0.85844444  2.82      ]    	[ 0.01963565  0.6225753 ]          	[ 0.80138889  2.        ]	[ 0.88472222  4.        ]  
34 	24    	[ 0.85388889  2.86      ]    	[ 0.02790803  0.49030603]          	[ 0.77083333  2.        ]	[ 0.88472222  4.        ]  
35 	33    	[ 0.84958333  2.9       ]    	[ 0.02930424  0.5       ]          	[ 0.74861111  2.        ]	[ 0.88472222  5.        ]  
36 	34    	[ 0.84816667  2.94      ]    	[ 0.0266673   0.46518813]          	[ 0.75972222  1.        ]	[ 0.88472222  4.        ]  
37 	26    	[ 0.85530556  3.02      ]    	[ 0.01731313  0.24413111]          	[ 0.82361111  2.        ]	[ 0.88472222  4.        ]  
38 	33    	[ 0.84983333  2.98      ]    	[ 0.022887    0.46861498]          	[ 0.77916667  2.        ]	[ 0.88472222  5.        ]  
39 	31    	[ 0.84702778  3.04      ]    	[ 0.03444782  0.63118935]          	[ 0.65972222  2.        ]	[ 0.88472222  5.        ]  
40 	23    	[ 0.85516667  2.82      ]    	[ 0.02581098  0.43312816]          	[ 0.74861111  2.        ]	[ 0.88472222  4.        ]  
Number of features selected:  3
Selected features indexes are: [ True False False False  True False False False False  True]
ExtratreeClassifier
Selecting features with genetic algorithm.
gen	nevals	avg                      	std                      	min            	max                      
0  	50    	[ 0.81444444  5.14      ]	[ 0.03971834  1.37127678]	[ 0.725  3.   ]	[ 0.87361111  9.        ]
1  	32    	[ 0.82461111  5.06      ]	[ 0.03374404  1.3770984 ]	[ 0.725  2.   ]	[ 0.87361111  8.        ]
2  	36    	[ 0.84280556  5.2       ]	[ 0.029623  1.2     ]    	[ 0.72638889  3.        ]	[ 0.88333333  8.        ]
3  	33    	[ 0.84333333  5.28      ]	[ 0.02663192  1.31209756]	[ 0.77222222  2.        ]	[ 0.88333333  8.        ]
4  	32    	[ 0.84802778  5.24      ]	[ 0.02562504  1.25793482]	[ 0.78055556  3.        ]	[ 0.88333333  8.        ]
5  	33    	[ 0.85152778  5.04      ]	[ 0.02177369  1.19933315]	[ 0.80277778  2.        ]	[ 0.89444444  8.        ]
6  	25    	[ 0.85647222  5.18      ]	[ 0.02245642  1.27577427]	[ 0.79444444  4.        ]	[ 0.89444444  8.        ]
7  	21    	[ 0.87036111  5.66      ]	[ 0.01739965  1.17660529]	[ 0.81527778  4.        ]	[ 0.89583333  8.        ]
8  	28    	[ 0.866  5.44 ]          	[ 0.02333208  1.32905982]	[ 0.78333333  3.        ]	[ 0.89583333  8.        ]
9  	28    	[ 0.86575  5.28   ]      	[ 0.02683053  1.31209756]	[ 0.80416667  3.        ]	[ 0.89583333  8.        ]
10 	31    	[ 0.86463889  5.12      ]	[ 0.02783496  1.22702893]	[ 0.79444444  4.        ]	[ 0.90833333  7.        ]
11 	26    	[ 0.86897222  4.7       ]	[ 0.02609575  1.06301458]	[ 0.81527778  3.        ]	[ 0.90833333  7.        ]
12 	32    	[ 0.86497222  4.56      ]	[ 0.02669745  0.96249675]	[ 0.79166667  4.        ]	[ 0.90833333  7.        ]
13 	27    	[ 0.86466667  4.48      ]	[ 0.02489199  1.00478853]	[ 0.81388889  3.        ]	[ 0.90833333  8.        ]
14 	29    	[ 0.86511111  4.56      ]	[ 0.02661691  1.04230514]	[ 0.78194444  3.        ]	[ 0.89583333  7.        ]
15 	25    	[ 0.86563889  4.44      ]	[ 0.02856362  0.89799777]	[ 0.76111111  4.        ]	[ 0.89583333  7.        ]
16 	33    	[ 0.85758333  4.36      ]	[ 0.03107663  0.86625631]	[ 0.74861111  2.        ]	[ 0.89583333  7.        ]
17 	28    	[ 0.86683333  4.18      ]	[ 0.02702399  0.68381284]	[ 0.79305556  3.        ]	[ 0.89583333  7.        ]
18 	25    	[ 0.87108333  4.2       ]	[ 0.02171414  0.52915026]	[ 0.81666667  4.        ]	[ 0.89583333  7.        ]
19 	31    	[ 0.87319444  4.06      ]	[ 0.02319611  0.5444263 ]	[ 0.80694444  3.        ]	[ 0.89583333  7.        ]
20 	26    	[ 0.87419444  4.22      ]	[ 0.02523514  0.85533619]	[ 0.78333333  3.        ]	[ 0.89583333  7.        ]
21 	27    	[ 0.8785  4.08  ]        	[ 0.02327579  0.56      ]	[ 0.82638889  3.        ]	[ 0.89583333  7.        ]
22 	21    	[ 0.87722222  4.04      ]	[ 0.02455939  0.34409301]	[ 0.80555556  3.        ]	[ 0.89583333  5.        ]
23 	26    	[ 0.8715  4.    ]        	[ 0.02946964  0.2       ]	[ 0.78194444  3.        ]	[ 0.89583333  5.        ]
24 	34    	[ 0.85813889  3.96      ]	[ 0.03111484  0.48826222]	[ 0.79027778  2.        ]	[ 0.89583333  6.        ]
25 	36    	[ 0.85863889  4.08      ]	[ 0.03054203  0.48332184]	[ 0.74861111  3.        ]	[ 0.89583333  6.        ]
26 	27    	[ 0.86438889  4.        ]	[ 0.02916503  0.48989795]	[ 0.80416667  3.        ]	[ 0.89583333  7.        ]
27 	40    	[ 0.86119444  4.02      ]	[ 0.02141847  0.54735729]	[ 0.81666667  3.        ]	[ 0.89583333  7.        ]
28 	23    	[ 0.86441667  3.98      ]	[ 0.02409454  0.24413111]	[ 0.75972222  3.        ]	[ 0.89583333  5.        ]
29 	36    	[ 0.865  3.96 ]          	[ 0.02016904  0.34409301]	[ 0.79305556  2.        ]	[ 0.89583333  5.        ]
30 	28    	[ 0.86591667  4.08      ]	[ 0.01906011  0.44      ]	[ 0.82638889  3.        ]	[ 0.89583333  6.        ]
31 	32    	[ 0.86369444  4.06      ]	[ 0.02068467  0.36932371]	[ 0.79305556  3.        ]	[ 0.90694444  6.        ]
32 	26    	[ 0.86863889  4.04      ]	[ 0.02777651  0.28      ]	[ 0.80416667  3.        ]	[ 0.90694444  5.        ]
33 	29    	[ 0.87147222  4.02      ]	[ 0.02680406  0.31559468]	[ 0.80416667  3.        ]	[ 0.90694444  5.        ]
34 	28    	[ 0.86755556  4.1       ]	[ 0.03026218  0.41231056]	[ 0.80416667  3.        ]	[ 0.90694444  6.        ]
35 	35    	[ 0.85902778  3.92      ]	[ 0.02865322  0.52306787]	[ 0.79305556  2.        ]	[ 0.90694444  5.        ]
36 	26    	[ 0.86669444  3.94      ]	[ 0.02905998  0.58      ]	[ 0.78055556  2.        ]	[ 0.90833333  5.        ]
37 	23    	[ 0.87302778  4.06      ]	[ 0.02498316  0.42      ]	[ 0.79305556  3.        ]	[ 0.90833333  5.        ]
38 	28    	[ 0.87111111  4.12      ]	[ 0.03025228  0.38157568]	[ 0.80416667  4.        ]	[ 0.90833333  6.        ]
39 	29    	[ 0.86780556  4.02      ]	[ 0.03318333  0.24413111]	[ 0.82638889  3.        ]	[ 0.90833333  5.        ]
40 	35    	[ 0.85577778  3.98      ]	[ 0.0355299   0.37363083]	[ 0.78333333  3.        ]	[ 0.90833333  5.        ]
Number of features selected:  4
Selected features indexes are: [ True  True False False  True  True False False False False]
svm.SVC
Selecting features with genetic algorithm.
gen	nevals	avg                      	std                      	min                      	max                      
0  	50    	[ 0.68308333  4.84      ]	[ 0.00175     1.65360213]	[ 0.67083333  1.        ]	[ 0.68333333  8.        ]
1  	32    	[ 0.68333333  3.3       ]	[  1.11022302e-16   1.34536240e+00]	[ 0.68333333  1.        ]	[ 0.68333333  7.        ]
2  	27    	[-199.32988889    2.16      ]	[  1.40009573e+03   1.00717426e+00]	[-10000.      0.]        	[ 0.70555556  4.        ]
3  	26    	[-199.329    1.54 ]          	[  1.40009586e+03   6.98856208e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
4  	30    	[-199.327    1.2  ]          	[  1.40009614e+03   4.47213595e-01]	[-10000.      0.]        	[ 0.70555556  2.        ]
5  	20    	[-599.35122222    1.14      ]	[  2.37503233e+03   5.66038868e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
6  	28    	[-199.31566667    1.04      ]	[  1.40009776e+03   2.80000000e-01]	[-10000.      0.]        	[ 0.70555556  2.        ]
7  	28    	[ 0.70333333  1.08      ]    	[ 0.00666667  0.33704599]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
8  	28    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
9  	18    	[ 0.70422222  1.08      ]    	[ 0.00527749  0.33704599]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
10 	22    	[ 0.70555556  1.        ]    	[  1.11022302e-16   0.00000000e+00]	[ 0.70555556  1.        ]	[ 0.70555556  1.        ]
11 	33    	[ 0.70244444  1.16      ]    	[ 0.00771082  0.41761226]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
12 	31    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
13 	38    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
14 	21    	[ 0.70422222  1.06      ]    	[ 0.00527749  0.23748684]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
15 	23    	[ 0.702  1.18 ]              	[ 0.0081468   0.43312816]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
16 	24    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
17 	30    	[-199.309    1.02 ]          	[  1.40009871e+03   3.15594677e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
18 	32    	[ 0.70422222  1.06      ]    	[ 0.00527749  0.23748684]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
19 	28    	[ 0.70511111  1.02      ]    	[ 0.00311111  0.14      ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
20 	34    	[ 0.70422222  1.08      ]    	[ 0.00527749  0.33704599]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
21 	31    	[ 0.70175  1.14   ]          	[ 0.00887503  0.34698703]          	[ 0.67083333  1.        ]	[ 0.70555556  2.        ]
22 	35    	[ 0.70377778  1.1       ]    	[ 0.00602874  0.36055513]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
23 	27    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
24 	21    	[ 0.70422222  1.1       ]    	[ 0.00527749  0.45825757]          	[ 0.68333333  1.        ]	[ 0.70555556  4.        ]
25 	29    	[ 0.70422222  1.06      ]    	[ 0.00527749  0.23748684]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
26 	33    	[ 0.70111111  1.24      ]    	[ 0.00888889  0.54990908]          	[ 0.68333333  1.        ]	[ 0.70555556  4.        ]
27 	22    	[ 0.70511111  1.04      ]    	[ 0.00311111  0.28      ]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
28 	33    	[ 0.70333333  1.12      ]    	[ 0.00666667  0.38157568]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
29 	33    	[-199.309    1.   ]          	[  1.40009871e+03   2.00000000e-01]	[-10000.      0.]        	[ 0.70555556  2.        ]
30 	24    	[-199.31077778    1.12      ]	[  1.40009846e+03   4.74973683e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
31 	32    	[ 0.70288889  1.12      ]    	[ 0.00722137  0.32496154]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
32 	30    	[-199.31033333    1.06      ]	[  1.40009852e+03   3.10483494e-01]	[-10000.      0.]        	[ 0.70555556  2.        ]
33 	33    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
34 	26    	[ 0.70377778  1.08      ]    	[ 0.00602874  0.2712932 ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
35 	30    	[-199.31033333    1.04      ]	[  1.40009852e+03   2.80000000e-01]	[-10000.      0.]        	[ 0.70555556  2.        ]
36 	28    	[-599.33766667    1.        ]	[  2.37503575e+03   4.00000000e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
37 	29    	[ 0.70333333  1.1       ]    	[ 0.00666667  0.3       ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
38 	34    	[ 0.70333333  1.1       ]    	[ 0.00666667  0.3       ]          	[ 0.68333333  1.        ]	[ 0.70555556  2.        ]
39 	22    	[-199.309    1.02 ]          	[  1.40009871e+03   3.15594677e-01]	[-10000.      0.]        	[ 0.70555556  3.        ]
40 	24    	[ 0.70422222  1.08      ]    	[ 0.00527749  0.33704599]          	[ 0.68333333  1.        ]	[ 0.70555556  3.        ]
Number of features selected:  1
Selected features indexes are: [False False False False False False False  True False False]
50
MRMR
MLP logistic sgd
Selecting features with genetic algorithm.
